system:index,cellCount,psim_id,scym9,state,year,yield_tha,yield_tha_noW,.geo
00000000000000003501,74790,36605.0,1.0,IN,2011,20768,15274,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003502,74755,36606.0,1.0,IN,2011,22444,21640,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003503,74752,36607.0,1.0,IN,2011,17764,16252,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003504,74751,36608.0,1.0,IN,2011,17588,17638,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003505,74759,36609.0,1.0,IN,2011,12063,11990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003506,74754,36610.0,1.0,IN,2011,17955,18030,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003507,74761,36611.0,1.0,IN,2011,23885,23891,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003508,74752,36612.0,1.0,IN,2011,29485,29556,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003509,74748,36613.0,1.0,IN,2011,25525,25451,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000350a,74761,36614.0,1.0,IN,2011,11842,11883,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000350b,74786,36615.0,1.0,IN,2011,13286,13250,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000350c,74764,36616.0,1.0,IN,2011,6545,6618,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000350d,74756,36617.0,1.0,IN,2011,2258,2271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000350e,74753,36618.0,1.0,IN,2011,603,579,"{""type"":""MultiPoint"",""coordinates"":[]}"
